label_BMU,hemi,side,BRAIN_ROI,atlas
R_1_ROI,right,lateral,1_ROI,glassersub
R_10d_ROI,right,medial,10d_ROI,glassersub
R_10pp_ROI,right,medial,10pp_ROI,glassersub
R_10r_ROI,right,medial,10r_ROI,glassersub
R_10v_ROI,right,medial,10v_ROI,glassersub
R_11l_ROI,right,lateral,11l_ROI,glassersub
R_13l_ROI,right,lateral,13l_ROI,glassersub
R_2_ROI,right,lateral,2_ROI,glassersub
R_23c_ROI,right,medial,23c_ROI,glassersub
R_23d_ROI,right,medial,23d_ROI,glassersub
R_24dd_ROI,right,medial,24dd_ROI,glassersub
R_24dv_ROI,right,medial,24dv_ROI,glassersub
R_25_ROI,right,medial,25_ROI,glassersub
R_31a_ROI,right,medial,31a_ROI,glassersub
R_31pd_ROI,right,medial,31pd_ROI,glassersub
R_31pv_ROI,right,medial,31pv_ROI,glassersub
R_33pr_ROI,right,medial,33pr_ROI,glassersub
R_3a_ROI,right,lateral,3a_ROI,glassersub
R_3b_ROI,right,lateral,3b_ROI,glassersub
R_4_ROI,right,lateral,4_ROI,glassersub
R_4_ROI,right,medial,4_ROI,glassersub
R_43_ROI,right,lateral,43_ROI,glassersub
R_44_ROI,right,lateral,44_ROI,glassersub
R_45_ROI,right,lateral,45_ROI,glassersub
R_46_ROI,right,lateral,46_ROI,glassersub
R_47l_ROI,right,lateral,47l_ROI,glassersub
R_47m_ROI,right,lateral,47m_ROI,glassersub
R_47s_ROI,right,lateral,47s_ROI,glassersub
R_52_ROI,right,lateral,52_ROI,glassersub
R_55b_ROI,right,lateral,55b_ROI,glassersub
R_5L_ROI,right,lateral,5L_ROI,glassersub
R_5L_ROI,right,medial,5L_ROI,glassersub
R_5m_ROI,right,medial,5m_ROI,glassersub
R_5mv_ROI,right,medial,5mv_ROI,glassersub
R_6a_ROI,right,lateral,6a_ROI,glassersub
R_6d_ROI,right,lateral,6d_ROI,glassersub
R_6ma_ROI,right,lateral,6ma_ROI,glassersub
R_6ma_ROI,right,medial,6ma_ROI,glassersub
R_6mp_ROI,right,lateral,6mp_ROI,glassersub
R_6mp_ROI,right,medial,6mp_ROI,glassersub
R_6r_ROI,right,lateral,6r_ROI,glassersub
R_6v_ROI,right,lateral,6v_ROI,glassersub
R_7AL_ROI,right,lateral,7AL_ROI,glassersub
R_7Am_ROI,right,medial,7Am_ROI,glassersub
R_7m_ROI,right,medial,7m_ROI,glassersub
R_7PC_ROI,right,lateral,7PC_ROI,glassersub
R_7PL_ROI,right,lateral,7PL_ROI,glassersub
R_7Pm_ROI,right,medial,7Pm_ROI,glassersub
R_8Ad_ROI,right,lateral,8Ad_ROI,glassersub
R_8Av_ROI,right,lateral,8Av_ROI,glassersub
R_8BL_ROI,right,lateral,8BL_ROI,glassersub
R_8BL_ROI,right,medial,8BL_ROI,glassersub
R_8BM_ROI,right,medial,8BM_ROI,glassersub
R_8C_ROI,right,lateral,8C_ROI,glassersub
R_9-46d_ROI,right,lateral,9-46d_ROI,glassersub
R_9a_ROI,right,lateral,9a_ROI,glassersub
R_9m_ROI,right,medial,9m_ROI,glassersub
R_9p_ROI,right,lateral,9p_ROI,glassersub
R_A1_ROI,right,lateral,A1_ROI,glassersub
